start_station_id,matched_station_name,borough,GEOID,latitude,longitude,capacity,total_rides_2025,avg_daily_rides,avg_member_share,avg_trip_duration_min,ebike_share,avg_weekday_rides,avg_weekend_rides,weekday_weekend_ratio,rides_per_dock,median_household_income,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_dist_m,subway_count_500m,nearest_subway_name,income_band,poverty_band
2488.09,6 Ave & 78 St,Brooklyn,36047014200,40.62569,-74.02119,12.0,286,3.763,0.739,18.65,0.605,3.364,4.81,0.7,0.31,81250.0,25.0,0.6234177215189873,6313.0,579.6,0.0,77 St,Mid-Low,Elevated
2497.07,3 Ave & 81 St,Brooklyn,36047004600,40.627,-74.02948,16.0,340,4.722,0.621,12.86,0.656,4.585,5.105,0.9,0.3,134773.0,9.9,0.18359375,1771.1,453.0,2.0,77 St,Mid-High,Moderate
2506.10,83 St & Narrows Ave,Brooklyn,36047004600,40.62757,-74.03838,12.0,244,3.935,0.624,13.02,0.525,3.766,4.467,0.84,0.33,134773.0,9.9,0.18359375,1771.1,1002.3,0.0,86 St,Mid-High,Moderate
2506.11,Colonial Rd & 83 St,Brooklyn,36047004600,40.62691,-74.03564,16.0,310,4.366,0.605,15.83,0.597,4.078,5.1,0.8,0.27,134773.0,9.9,0.18359375,1771.1,770.8,0.0,86 St,Mid-High,Moderate
2533.04,79 St & 5 Ave,Brooklyn,36047013600,40.62646,-74.02367,16.0,348,4.35,0.668,16.08,0.661,3.741,5.955,0.63,0.27,88182.0,12.7,0.5185897435897436,7281.1,396.6,1.0,77 St,Mid-High,Moderate
2569.07,6 Ave & 74 St,Brooklyn,36047013400,40.629233,-74.019864,12.0,74,2.312,0.673,13.19,0.662,2.083,3.0,0.69,0.19,99886.0,11.4,0.5085836909871244,5211.9,479.8,1.0,77 St,Mid-High,Moderate
2578.16,3 Ave & 77 St,Brooklyn,36047006400,40.62991,-74.02834,16.0,706,7.844,0.714,15.68,0.718,8.046,7.32,1.1,0.49,98846.0,17.9,0.4643835616438356,7185.9,239.6,1.0,77 St,Mid-High,Elevated
2578.17,4 Ave & 76 St,Brooklyn,36047006400,40.63005,-74.0255,23.0,219,4.212,0.801,11.28,0.557,4.389,3.812,1.15,0.18,98846.0,17.9,0.4643835616438356,7185.9,34.3,1.0,77 St,Mid-High,Elevated
2615.05,Bay Ridge Pkwy & 5 Ave,Brooklyn,36047013400,40.62967,-74.02275,16.0,340,4.474,0.703,14.38,0.644,4.446,4.55,0.98,0.28,99886.0,11.4,0.5085836909871244,5211.9,233.1,1.0,77 St,Mid-High,Moderate
2625.01,78 St & Ridge Blvd,Brooklyn,36047006400,40.62994,-74.03121,12.0,170,2.742,0.733,14.13,0.559,2.86,2.474,1.16,0.23,98846.0,17.9,0.4643835616438356,7185.9,481.5,1.0,77 St,Mid-High,Elevated
2635.08,Shore Rd & 80 St,Brooklyn,36047004400,40.63074,-74.03962,12.0,161,3.038,0.631,15.57,0.522,3.167,2.765,1.15,0.25,142143.0,5.8,0.2483731019522776,2197.9,1195.9,0.0,77 St,High,Low
2660.09,4 Ave & 72 St,Brooklyn,36047006600,40.63283,-74.02439,14.0,344,4.3,0.679,13.8,0.587,3.672,5.955,0.62,0.31,98158.0,17.4,0.5513418903150525,11148.7,252.5,2.0,Bay Ridge Av,Mid-High,Elevated
2671.05,77 St & Colonial Rd,Brooklyn,36047004400,40.63121,-74.03318,14.0,62,2.138,0.588,5.48,0.629,2.261,1.667,1.36,0.15,142143.0,5.8,0.2483731019522776,2197.9,667.5,0.0,77 St,High,Low
2698.07,68 St & 5 Ave,Brooklyn,36047012600,40.63416,-74.02058,14.0,444,4.625,0.759,12.4,0.631,4.739,4.333,1.09,0.33,81477.0,18.8,0.4652466367713004,3779.9,252.5,1.0,Bay Ridge Av,Mid-Low,Elevated
