GEOID,total_rows,missing_rows,missing_share
36061004200,727,0,0.0
36061004300,731,0,0.0
36061004400,1412,0,0.0
36061004500,1095,0,0.0
36061004700,727,0,0.0
36061004800,730,0,0.0
36061004900,1458,0,0.0
36061005000,1455,0,0.0
36061005200,1565,0,0.0
36061005400,727,0,0.0
36061005501,365,0,0.0
36061005502,731,0,0.0
36061005600,1567,0,0.0
36061005700,730,0,0.0
36061005800,1082,0,0.0
36061005900,1191,0,0.0
36061006000,731,0,0.0
36061006100,1396,0,0.0
36061006200,665,0,0.0
36061006300,1091,0,0.0
36061006400,730,0,0.0
36061006500,1455,0,0.0
36061006600,1095,0,0.0
36061006700,730,0,0.0
36061006800,731,0,0.0
36061006900,1457,0,0.0
36061007001,1079,0,0.0
36061007002,365,0,0.0
36061007100,1077,0,0.0
36061007200,1460,0,0.0
36061007300,728,0,0.0
36061007400,723,0,0.0
36061007500,534,0,0.0
36061007600,362,0,0.0
36061007700,1466,0,0.0
36061007800,356,0,0.0
36061007900,1430,0,0.0
36061008000,1936,0,0.0
36061008100,1090,0,0.0
36061008200,896,0,0.0
36061008300,1735,0,0.0
36061008400,365,0,0.0
36061008601,364,0,0.0
36061008603,365,0,0.0
36061008700,729,0,0.0
36061008800,1068,0,0.0
36061008900,1383,0,0.0
36061009000,1525,0,0.0
36061009100,731,0,0.0
36061009200,1017,0,0.0
36061009300,1024,0,0.0
36061009400,941,0,0.0
36061009500,362,0,0.0
36061009700,1096,0,0.0
36061009800,1014,0,0.0
36061009901,651,0,0.0
36061009902,732,0,0.0
36061009903,1802,0,0.0
36061010000,724,0,0.0
36061010100,1889,0,0.0
36061010300,1095,0,0.0
36061010400,1418,0,0.0
36061010601,365,0,0.0
36061010602,361,0,0.0
36061010801,728,0,0.0
36061010802,469,0,0.0
36061010900,1699,0,0.0
36061011000,1049,0,0.0
36061011100,1340,0,0.0
36061011202,717,0,0.0
36061011203,365,0,0.0
36061011300,1890,0,0.0
36061011401,350,0,0.0
36061011500,365,0,0.0
36061011700,729,0,0.0
36061011800,1084,0,0.0
36061011900,353,0,0.0
36061012000,365,0,0.0
36061012101,730,0,0.0
36061012102,732,0,0.0
36061012200,731,0,0.0
36061012400,717,0,0.0
36061012500,687,0,0.0
36061012602,366,0,0.0
36061012700,1436,0,0.0
36061012800,730,0,0.0
36061012901,719,0,0.0
36061012902,273,0,0.0
36061013000,731,0,0.0
36061013100,1485,0,0.0
36061013203,365,0,0.0
36061013300,1095,0,0.0
36061013400,729,0,0.0
36061013501,730,0,0.0
36061013502,365,0,0.0
36061013603,365,0,0.0
36061013604,365,0,0.0
36061013700,2245,0,0.0
36061013800,676,0,0.0
36061013900,365,0,0.0
36061014000,1539,0,0.0
36061014200,365,0,0.0
36061014401,280,0,0.0
36061014402,715,0,0.0
36061014500,725,0,0.0
36061014601,301,0,0.0
36061014602,365,0,0.0
36061014700,710,0,0.0
36061014802,467,0,0.0
36061014900,362,0,0.0
36061015002,364,0,0.0
36061015101,345,0,0.0
36061015102,730,0,0.0
36061015302,365,0,0.0
36061015401,470,0,0.0
36061015402,362,0,0.0
36061015403,730,0,0.0
36061015502,343,0,0.0
36061015601,302,0,0.0
36061015602,364,0,0.0
36061015700,827,0,0.0
36061015801,340,0,0.0
36061015900,731,0,0.0
36061016001,361,0,0.0
36061016002,365,0,0.0
36061016100,283,0,0.0
36061016200,730,0,0.0
36061016300,730,0,0.0
36061016400,1171,0,0.0
36061016500,359,0,0.0
36061016600,365,0,0.0
36061016700,730,0,0.0
36061016800,1822,0,0.0
36061016900,1394,0,0.0
36061017000,365,0,0.0
36061017100,454,0,0.0
36061017200,731,0,0.0
36061017300,365,0,0.0
36061017500,726,0,0.0
36061017700,434,0,0.0
36061017800,728,0,0.0
36061017900,719,0,0.0
36061018000,694,0,0.0
36061018100,365,0,0.0
36061018200,362,0,0.0
36061018300,658,0,0.0
36061018400,1096,0,0.0
36061018500,365,0,0.0
36061018600,823,0,0.0
36061018700,301,0,0.0
36061018800,1092,0,0.0
36061018900,1711,0,0.0
36061019000,349,0,0.0
36061019100,365,0,0.0
36061019200,364,0,0.0
36061019300,365,0,0.0
36061019400,365,0,0.0
36061019500,1066,0,0.0
36061019600,730,0,0.0
36061019701,1094,0,0.0
36061019800,1090,0,0.0
36061019900,365,0,0.0
36061020101,350,0,0.0
36061020102,365,0,0.0
36061020500,730,0,0.0
36061020600,365,0,0.0
36061020701,365,0,0.0
36061020800,1085,0,0.0
36061021000,1083,0,0.0
36061021100,1093,0,0.0
36061021200,365,0,0.0
36061021303,365,0,0.0
36061021400,730,0,0.0
36061021500,860,0,0.0
36061021600,728,0,0.0
36061021800,1093,0,0.0
36061021900,1799,0,0.0
36061022102,730,0,0.0
36061022200,1032,0,0.0
36061022301,689,0,0.0
36061022302,365,0,0.0
36061022400,681,0,0.0
36061022500,1090,0,0.0
36061022600,730,0,0.0
36061022700,365,0,0.0
36061022800,366,0,0.0
36061022900,730,0,0.0
36061023000,730,0,0.0
36061023100,1458,0,0.0
36061023200,856,0,0.0
36061023300,730,0,0.0
36061023501,1493,0,0.0
36061023600,1095,0,0.0
36061023700,728,0,0.0
36061023803,364,0,0.0
36061023804,714,0,0.0
36061023900,1125,0,0.0
36061024100,727,0,0.0
36061024200,1456,0,0.0
36061024301,1085,0,0.0
36061024302,1087,0,0.0
36061024500,1095,0,0.0
36061024700,710,0,0.0
36061024900,365,0,0.0
36061025100,637,0,0.0
36061025300,729,0,0.0
36061025700,366,0,0.0
36061025900,365,0,0.0
36061026100,362,0,0.0
36061026300,730,0,0.0
36061026500,1094,0,0.0
36061026900,1125,0,0.0
36061027100,365,0,0.0
36061027300,729,0,0.0
36061027700,992,0,0.0
36061027900,727,0,0.0
36061028100,718,0,0.0
36061028300,363,0,0.0
36061028500,1088,0,0.0
36061028700,687,0,0.0
36061029100,1060,0,0.0
36061029300,709,0,0.0
36061029500,362,0,0.0
36061029900,1763,0,0.0
36061030300,351,0,0.0
36061030900,643,0,0.0
36061031703,1095,0,0.0
36061031704,1096,0,0.0
36081000101,730,0,0.0
36081000102,365,0,0.0
36081000701,1454,0,0.0
36081000702,1821,0,0.0
36081001901,1096,0,0.0
36081001902,365,0,0.0
36081001903,1817,0,0.0
36081002500,365,0,0.0
36081003100,675,0,0.0
36081003301,725,0,0.0
36081003302,1208,0,0.0
36081003900,1096,0,0.0
36081004300,1094,0,0.0
36081004500,626,0,0.0
36081004700,1094,0,0.0
36081005100,365,0,0.0
36081005300,730,0,0.0
36081005500,365,0,0.0
36081005700,1413,0,0.0
36081005900,731,0,0.0
36081006100,432,0,0.0
36081006300,728,0,0.0
36081006501,363,0,0.0
36081006502,365,0,0.0
36081006900,365,0,0.0
36081007100,1190,0,0.0
36081007300,451,0,0.0
36081007700,1094,0,0.0
36081008100,1093,0,0.0
36081008300,729,0,0.0
36081008500,365,0,0.0
36081009100,730,0,0.0
36081009500,365,0,0.0
36081009700,1168,0,0.0
36081010100,729,0,0.0
36081010300,354,0,0.0
36081010500,1087,0,0.0
36081011100,729,0,0.0
36081011300,365,0,0.0
36081011500,1034,0,0.0
36081011700,1170,0,0.0
36081011900,1459,0,0.0
36081012301,2167,0,0.0
36081012500,365,0,0.0
36081013700,365,0,0.0
36081014100,730,0,0.0
36081014300,730,0,0.0
36081014500,729,0,0.0
36081014900,365,0,0.0
36081015100,1095,0,0.0
36081015300,365,0,0.0
36081015500,1095,0,0.0
36081015700,363,0,0.0
36081015900,1163,0,0.0
36081016100,729,0,0.0
36081016300,1453,0,0.0
36081016900,1093,0,0.0
36081017102,1090,0,0.0
36081017901,633,0,0.0
36081018101,593,0,0.0
36081018102,203,0,0.0
36081018501,730,0,0.0
36081018502,730,0,0.0
36081018700,365,0,0.0
36081018900,1033,0,0.0
36081023501,730,0,0.0
36081023502,365,0,0.0
36081024300,1080,0,0.0
36081024500,718,0,0.0
36081024700,361,0,0.0
36081024900,729,0,0.0
36081025100,2036,0,0.0
36081025301,1091,0,0.0
36081025302,803,0,0.0
36081025500,1442,0,0.0
36081025700,331,0,0.0
36081025900,923,0,0.0
36081026100,1092,0,0.0
36081026300,723,0,0.0
36081026501,728,0,0.0
36081026502,1076,0,0.0
36081026700,1117,0,0.0
36081026901,1072,0,0.0
36081027101,364,0,0.0
36081027102,360,0,0.0
36081027301,689,0,0.0
36081027302,1091,0,0.0
36081027500,1088,0,0.0
36081027702,365,0,0.0
36081027900,1094,0,0.0
36081028100,725,0,0.0
36081028500,1155,0,0.0
36081028700,730,0,0.0
36081028900,1092,0,0.0
36081029100,727,0,0.0
36081029300,1057,0,0.0
36081029500,365,0,0.0
36081029700,1810,0,0.0
36081030903,1405,0,0.0
36081030904,1048,0,0.0
36081030905,1077,0,0.0
36081030906,726,0,0.0
36081031700,1801,0,0.0
36081032700,1066,0,0.0
36081032900,1405,0,0.0
36081033700,727,0,0.0
36081033900,355,0,0.0
36081034700,985,0,0.0
36081035100,725,0,0.0
36081035300,723,0,0.0
36081035700,1982,0,0.0
36081036100,364,0,0.0
36081036300,1016,0,0.0
36081036500,711,0,0.0
36081036700,666,0,0.0
36081037100,359,0,0.0
36081037300,583,0,0.0
36081037700,356,0,0.0
36081037900,1029,0,0.0
36081038100,1339,0,0.0
36081039901,670,0,0.0
36081039902,280,0,0.0
36081040101,339,0,0.0
36081040102,676,0,0.0
36081040301,335,0,0.0
36081040302,359,0,0.0
36081040501,332,0,0.0
36081040702,352,0,0.0
36081040901,322,0,0.0
36081040902,742,0,0.0
36081041100,662,0,0.0
36081041300,344,0,0.0
36081041500,985,0,0.0
36081042700,358,0,0.0
36081043701,322,0,0.0
36081043702,684,0,0.0
36081043900,1345,0,0.0
36081044301,595,0,0.0
36081044302,679,0,0.0
36081045500,358,0,0.0
36081045900,701,0,0.0
36081046100,605,0,0.0
36081046300,708,0,0.0
36081046700,663,0,0.0
36081046902,322,0,0.0
36081047300,1051,0,0.0
36081047500,365,0,0.0
36081048100,659,0,0.0
36081048301,364,0,0.0
36081048302,362,0,0.0
36081048500,1420,0,0.0
36081051100,281,0,0.0
36081051500,1074,0,0.0
36081051700,697,0,0.0
36081052100,661,0,0.0
36081052500,620,0,0.0
36081053100,1621,0,0.0
36081053501,712,0,0.0
36081053901,1456,0,0.0
36081054500,365,0,0.0
36081054700,365,0,0.0
36081054900,788,0,0.0
36081055100,1162,0,0.0
36081055300,365,0,0.0
36081055500,363,0,0.0
36081055700,1827,0,0.0
36081055900,1434,0,0.0
36081056700,364,0,0.0
36081057700,364,0,0.0
36081057900,52,0,0.0
36081058300,729,0,0.0
36081058500,652,0,0.0
36081058900,983,0,0.0
36081059100,935,0,0.0
36081059300,1457,0,0.0
36081059501,365,0,0.0
36081059502,351,0,0.0
36081059900,693,0,0.0
36081060100,354,0,0.0
36081060300,364,0,0.0
36081061301,2137,0,0.0
36081062900,361,0,0.0
36081068300,1781,0,0.0
