station_id,station_name,latitude,longitude,capacity,GEOID,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_name,nearest_subway_dist_m,subway_count_500m
3d339282-d5c7-41ec-b634-6a988aefd440,E 174 St & Longfellow Ave,40.836274,-73.884308,20,36005016100,23210.0,2224,1908,37.5,0.8579136690647482,9300.6,174 St,309.5,1
66ddede1-0aca-11e7-82f6-3863bb44ef7c,W 95 St & Broadway,40.7937704,-73.971888,32,36061018300,149367.0,3827,2713,17.3,0.708910373660831,17060.2,96 St,40.2,1
956e9f8d-d23a-4a0e-bf28-84180e818af7,Classon Ave & St Marks Ave,40.676513,-73.959431,27,36047030500,122353.0,3332,2128,13.1,0.6386554621848739,10331.3,Park Pl,246.4,1
1828969515711812276,104 St & 38 Ave,40.75138,-73.86242,22,36081040302,70179.0,1088,569,21.8,0.5229779411764706,9773.0,103 St-Corona Plaza,170.1,1
b516fedb-3ced-4683-8c17-7e5f6dadf04d,Congress St & Hicks St,40.6893952,-73.9995126,35,36047004700,145341.0,849,421,13.5,0.4958775029446408,2989.8,Bergen St,814.0,0
66de867e-0aca-11e7-82f6-3863bb44ef7c,Greenwich St & Hubert St,40.721319,-74.010065,35,36061003900,202542.0,2699,1355,18.6,0.5020377917747314,8152.3,Franklin St,348.3,3
66dc0cc7-0aca-11e7-82f6-3863bb44ef7c,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,51,36047019700,121235.0,1797,838,6.0,0.466332776850306,10581.9,Clinton-Washington Avs,245.3,3
d7bdc3d7-6e6d-4899-9cc7-f4238a86c695,43 St & 23 Ave,40.769673,-73.906018,23,36081011900,84886.0,713,323,6.9,0.453015427769986,6396.1,Astoria-Ditmars Blvd,782.5,0
1903998756008763590,E 46 St & Madison Ave,40.755393,-73.977601,53,36061009400,81875.0,34,18,28.6,0.5294117647058824,222.6,Grand Central-42 St,321.0,5
1843486464469891376,76 St & 45 Ave,40.7411,-73.88837,19,36081048301,60568.0,769,353,14.9,0.459037711313394,8799.6,Elmhurst Av,556.0,0
66dbe7b6-0aca-11e7-82f6-3863bb44ef7c,E 55 St & 2 Ave,40.75797322,-73.96603308,29,36061010801,160719.0,1891,1668,6.8,0.8820729772607087,26708.7,Lexington Av/53 St,258.8,1
