GEOID,tract_name,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share
1400000US36047000700,,201827,2043,1359,4.1,0.6651982378854625
1400000US36047000900,,205500,2408,1678,2.9,0.696843853820598
1400000US36047001100,,203958,859,693,10.5,0.8067520372526193
1400000US36047001300,,139866,1395,918,10.5,0.6580645161290323
1400000US36047001501,,142560,2159,1903,24.4,0.8814265863825845
1400000US36047001502,,138179,2990,2370,16.3,0.7926421404682275
1400000US36047001801,,,0,0,,
1400000US36047001802,,,0,0,,
1400000US36047001803,,,0,0,72.7,
1400000US36047001804,,,0,0,,
1400000US36047002000,,81458,407,180,10.4,0.44226044226044225
1400000US36047002100,,250001,2800,1537,9.0,0.5489285714285714
1400000US36047002200,,41852,1592,954,25.0,0.5992462311557789
1400000US36047002300,,34977,1475,1229,33.4,0.8332203389830508
1400000US36047002901,,22855,1337,1198,43.0,0.8960359012715033
1400000US36047003000,,130473,771,211,4.7,0.27367055771725035
1400000US36047003101,,158500,1748,1298,5.6,0.7425629290617849
1400000US36047003102,,,0,0,,
1400000US36047003300,,136217,2507,2179,9.6,0.8691663342640606
1400000US36047003400,,113143,1525,595,7.5,0.3901639344262295
1400000US36047003500,,123417,1167,797,10.2,0.6829477292202228
1400000US36047003600,,91583,1934,914,19.9,0.4725956566701138
1400000US36047003700,,181404,2727,2049,13.2,0.7513751375137514
1400000US36047003800,,135313,596,120,9.7,0.20134228187919462
1400000US36047003900,,187273,1320,1012,11.9,0.7666666666666667
1400000US36047004100,,229002,1387,963,9.8,0.6943042537851478
1400000US36047004300,,161875,1964,1372,9.5,0.6985743380855397
1400000US36047004400,,142143,922,229,5.8,0.24837310195227766
1400000US36047004500,,189833,1692,834,4.0,0.4929078014184397
1400000US36047004600,,134773,512,94,9.9,0.18359375
1400000US36047004700,,145341,849,421,13.5,0.4958775029446408
1400000US36047004900,,166667,1056,500,10.3,0.4734848484848485
1400000US36047005000,,134013,1069,262,10.3,0.245088868101029
1400000US36047005100,,178913,1008,379,5.0,0.3759920634920635
1400000US36047005201,,40789,968,501,21.6,0.5175619834710744
1400000US36047005202,,107143,1496,526,3.9,0.3516042780748663
1400000US36047005301,,126071,920,291,12.3,0.31630434782608696
1400000US36047005302,,139609,45,29,0.0,0.6444444444444445
1400000US36047005303,,203750,67,23,0.0,0.34328358208955223
1400000US36047005400,,85342,1751,816,6.8,0.46601941747572817
1400000US36047005601,,104598,1451,842,18.0,0.580289455547898
1400000US36047005602,,96397,965,444,2.8,0.46010362694300516
1400000US36047005800,,77648,1459,822,7.6,0.5633995887594243
1400000US36047005900,,110288,633,266,24.1,0.42022116903633494
1400000US36047006000,,88542,969,305,3.3,0.31475748194014447
1400000US36047006200,,83500,1098,553,17.2,0.5036429872495446
1400000US36047006300,,188519,874,410,3.4,0.4691075514874142
1400000US36047006400,,98846,1460,678,17.9,0.4643835616438356
1400000US36047006500,,202355,2456,1019,4.0,0.4149022801302932
1400000US36047006600,,98158,1714,945,17.4,0.5513418903150525
1400000US36047006700,,214931,1587,717,3.8,0.45179584120982985
1400000US36047006800,,80938,1637,1068,13.6,0.6524129505192425
1400000US36047006901,,149936,807,418,7.2,0.5179677819083024
1400000US36047006902,,226136,826,597,3.6,0.7227602905569007
1400000US36047007000,,87198,1210,665,5.7,0.5495867768595041
